comic_id,A1Q1,A1Q2,A1Q3,A1Q4,A1Q5,A2Q1,A2Q2,A2Q3,A2Q4,A2Q5,A3Q1,A3Q2,A3Q3,A3Q4,A3Q5,A4Q1,A4Q2,A4Q3,A4Q4,A4Q5,A5Q1,A5Q2,A5Q3,A5Q4,A5Q5,A6Q1,A6Q2,A6Q3,A6Q4,A6Q5,A7Q1,A7Q2,A7Q3,A7Q4,A7Q5,A8Q1,A8Q2,A8Q3,A8Q4,A8Q5,A9Q1,A9Q2,A9Q3,A9Q4,A9Q5,A10Q1,A10Q2,A10Q3,A10Q4,A10Q5,A11Q1,A11Q2,A11Q3,A11Q4,A11Q5,A12Q1,A12Q2,A12Q3,A12Q4,A12Q5
explosm_1150,['Yes'],['Absent'],['1'],['Text'],"['Comparison', 'Surprise']",['Yes'],['Absent'],['1'],['Text'],['Silliness'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Yes'],['Absent'],['1'],['Text'],"['Comparison', 'Surprise']"
explosm_1184,['Yes'],['Absent'],['1'],"['Text', 'Visual']","['Pun', 'Surprise', 'Dark']",['Yes'],['Absent'],['1'],['Visual'],['Surprise'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_1230,['No'],['Absent'],['NA'],['NA'],['NA'],['Yes'],['Absent'],['2'],['Text'],"['Surprise', 'Dark']",,,,,,,,,,,,,,,,['Yes'],"['Present, contribute']",['2'],['Text'],"['Exaggeration', 'Surprise', 'Dark']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_1289,['Yes'],['Absent'],['3'],"['Text', 'Visual']","['Pun', 'Surprise', 'Dark']",['Yes'],['Absent'],['3'],"['Text', 'Visual']","['Exaggeration', 'Silliness', 'Surprise']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_1353,['Yes'],"['Present, contribute']",['2'],"['Text', 'Visual']","['Exaggeration', 'Pun', 'Silliness', 'Surprise']",['Yes'],['Absent'],['2'],['Visual'],"['Pun', 'Silliness']",,,,,,,,,,,,,,,,['Yes'],['Absent'],['2'],"['Text', 'Visual']","['Pun', 'Silliness']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_1420,['Yes'],['Absent'],['3'],"['Text', 'Visual']","['Pun', 'Surprise', 'Dark']",['Yes'],['Absent'],['3'],['Visual'],"['Pun', 'Surprise']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_1521,['Yes'],['Absent'],['4'],['Visual'],"['Comparison', 'Pun', 'Silliness', 'Surprise']",['Yes'],['Absent'],['3'],['Visual'],"['Personification', 'Surprise']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Yes'],['Absent'],['3'],['Visual'],"['Silliness', 'Comparison', 'Pun', 'Surprise']"
explosm_1570,['Yes'],"['Present, contribute']",['3'],"['Text', 'Visual']","['Pun', 'Surprise']",['Yes'],"['Present, do not contribute']",['3'],['Visual'],"['Pun', 'Silliness']",,,,,,,,,,,,,,,,['Yes'],"['Present, contribute']",['3'],"['Text', 'Visual']","['Pun', 'Surprise']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_1599,['Yes'],['Absent'],['6'],['Text'],['Pun'],['No'],['Absent'],['NA'],['NA'],['NA'],,,,,,,,,,,,,,,,['Yes'],['Absent'],['6'],['Text'],['Pun'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_1645,['Yes'],['Absent'],['2'],"['Text', 'Visual']","['Pun', 'Surprise']",['Yes'],"['Present, contribute']",['2'],"['Text', 'Visual']",['Pun'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Yes'],['Absent'],['2'],"['Text', 'Visual']","['Pun', 'Surprise']"
explosm_1679,['Yes'],['Absent'],['4'],"['Text', 'Visual']","['Personification', 'Surprise', 'Dark']",['Yes'],['Absent'],['1'],['Visual'],['Silliness'],,,,,,,,,,,,,,,,['Yes'],['Absent'],['4'],"['Text', 'Visual']","['Exaggeration', 'Sarcasm', 'Silliness']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_1713,['Yes'],['Absent'],['4'],"['Text', 'Visual']","['Silliness', 'Surprise']",['Yes'],['Absent'],['4'],"['Text', 'Visual']","['Exaggeration', 'Silliness']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_1793,['Yes'],['Absent'],['3'],"['Text', 'Visual']",['Silliness'],['Yes'],['Absent'],['2'],"['Text', 'Visual']",['Silliness'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Yes'],['Absent'],['3'],"['Text', 'Visual']",['Silliness']
explosm_1882,['Yes'],['Absent'],['4'],['Visual'],"['Exaggeration', 'Sarcasm']",['Yes'],['Absent'],['3'],['Text'],"['Comparison', 'Exaggeration']",,,,,,,,,,,,,,,,['Yes'],['Absent'],['4'],['Text'],['Silliness'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_1963,['Yes'],['Absent'],['2'],"['Text', 'Visual']","['Exaggeration', 'Sarcasm', 'Surprise']",['Yes'],['Absent'],['2'],"['Text', 'Visual']",['Silliness'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Yes'],['Absent'],['2'],"['Text', 'Visual']","['Exaggeration', 'Surprise']"
explosm_2020,['Yes'],['Absent'],['1'],"['Text', 'Visual']","['Comparison', 'Exaggeration', 'Silliness', 'Surprise']",['Yes'],['Absent'],['1'],"['Text', 'Visual']",['Silliness'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Yes'],['Absent'],['1'],"['Text', 'Visual']","['Exaggeration', 'Comparison', 'Silliness', 'Surprise']"
explosm_2110,['Yes'],['Absent'],['3'],"['Text', 'Visual']","['Exaggeration', 'Surprise']",['Yes'],['Absent'],['3'],"['Text', 'Visual']","['Exaggeration', 'Surprise']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_2210,['Yes'],['Absent'],['3'],"['Text', 'Visual']","['Silliness', 'Surprise']",['Yes'],['Absent'],['3'],['Visual'],['Silliness'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_2296,['Yes'],"['Present, contribute']",['2'],"['Text', 'Visual']","['Surprise', 'Dark']",['Yes'],"['Present, contribute']",['1'],['Visual'],['Exaggeration'],,,,,,,,,,,,,,,,['Yes'],['Absent'],['2'],"['Text', 'Visual']","['Exaggeration', 'Surprise']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_2325,['Yes'],['Absent'],['2'],"['Text', 'Visual']",['Surprise'],['Yes'],['Absent'],['2'],"['Text', 'Visual']",['Dark'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Yes'],['Absent'],['2'],"['Text', 'Visual']",['Dark']
explosm_2393,['Yes'],"['Present, contribute']",['6'],"['Text', 'Visual']","['Surprise', 'Dark']",['Yes'],['Absent'],['5'],['Text'],"['Exaggeration', 'Pun']",,,,,,,,,,,,,,,,['Yes'],['Absent'],['5'],"['Text', 'Visual']","['Surprise', 'Dark']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_2432,['Yes'],['Absent'],['2'],"['Text', 'Visual']","['Silliness', 'Surprise']",['Yes'],['Absent'],['2'],['Text'],['Surprise'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_2485,['Yes'],['Absent'],['1'],['Visual'],"['Surprise', 'Dark']",['Yes'],['Absent'],['1'],['Visual'],['Surprise'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_2576,['Yes'],['Absent'],['3'],"['Text', 'Visual']","['Exaggeration', 'Surprise']",['Yes'],['Absent'],['3'],['Text'],"['Surprise', 'Dark']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_2615,['Yes'],"['Present, contribute']",['3'],"['Text', 'Visual']","['Exaggeration', 'Surprise']",['Yes'],['Absent'],['3'],['Visual'],"['Exaggeration', 'Pun']",,,,,,,,,,,,,,,,['Yes'],"['Present, contribute']",['3'],"['Text', 'Visual']","['Exaggeration', 'Silliness']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_2631,['Yes'],['Absent'],['4'],"['Text', 'Visual']","['Pun', 'Surprise', 'Dark']",['Yes'],['Absent'],['4'],['Visual'],"['Silliness', 'Surprise']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_2712,['Yes'],['Absent'],['3'],"['Text', 'Visual']","['Sarcasm', 'Surprise']",['Yes'],['Absent'],['3'],['Text'],"['Silliness', 'Surprise']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_2796,['Yes'],['Absent'],['3'],"['Text', 'Visual']",['Silliness'],['Yes'],['Absent'],['3'],['Text'],"['Pun', 'Silliness']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_2920,['Yes'],['Absent'],['2'],"['Text', 'Visual']","['Surprise', 'Dark']",['Yes'],['Absent'],['2'],['Visual'],"['Surprise', 'Dark']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_2948,['Yes'],"['Present, contribute']",['1'],['Text'],"['Pun', 'Surprise']",['Yes'],"['Present, do not contribute']",['1'],['Text'],"['Exaggeration', 'Pun', 'Surprise']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Yes'],"['Present, contribute']",['1'],['Text'],"['Exaggeration', 'Pun', 'Surprise']"
explosm_3003,['Yes'],['Absent'],['3'],"['Text', 'Visual']","['Exaggeration', 'Surprise']",['Yes'],['Absent'],['2'],['Text'],['Exaggeration'],,,,,,,,,,,,,,,,['Yes'],['Absent'],['3'],['Text'],"['Exaggeration', 'Surprise']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_3033,['Yes'],['Absent'],['2'],"['Text', 'Visual']","['Pun', 'Surprise', 'Dark']",['Yes'],['Absent'],['2'],['Text'],"['Exaggeration', 'Silliness', 'Dark']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_3194,['Yes'],['Absent'],['3'],"['Text', 'Visual']",['Surprise'],['Yes'],['Absent'],['3'],"['Text', 'Visual']","['Silliness', 'Surprise']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_3248,['Yes'],['Absent'],['3'],['Text'],['Surprise'],['Yes'],['Absent'],['6'],['Text'],['Exaggeration'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Yes'],['Absent'],['6'],['Text'],"['Silliness', 'Surprise']"
explosm_3270,['Yes'],['Absent'],['1'],"['Text', 'Visual']","['Sarcasm', 'Surprise']",['Yes'],['Absent'],['1'],"['Text', 'Visual']",['Pun'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Yes'],['Absent'],['1'],"['Text', 'Visual']",['Pun']
explosm_3299,['Yes'],['Absent'],['3'],"['Text', 'Visual']","['Silliness', 'Surprise']",['Yes'],['Absent'],['3'],['Visual'],['Surprise'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_3385,['Yes'],"['Present, do not contribute']",['4'],"['Text', 'Visual']","['Surprise', 'Dark']",['Yes'],['Absent'],['4'],['Text'],"['Surprise', 'Dark']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Yes'],"['Present, do not contribute']",['4'],"['Text', 'Visual']","['Surprise', 'Dark']"
explosm_3460,['Yes'],['Absent'],['3'],['Text'],['Surprise'],['Yes'],['Absent'],['3'],['Text'],['Surprise'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_3492,['Yes'],['Absent'],['1'],"['Text', 'Visual']","['Pun', 'Surprise']",['Yes'],['Absent'],['1'],['Visual'],['Pun'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_3565,['Yes'],['Absent'],['4'],['Text'],"['Pun', 'Surprise']",['Yes'],['Absent'],['4'],['Text'],"['Pun', 'Surprise']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_3656,['Yes'],"['Present, do not contribute']",['2'],['Text'],"['Comparison', 'Surprise']",['Yes'],"['Present, do not contribute']",['2'],['Text'],"['Comparison', 'Sarcasm']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_3691,['Yes'],['Absent'],['3'],['Visual'],"['Surprise', 'Dark']",['Yes'],['Absent'],['3'],['Visual'],['Comparison'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Yes'],['Absent'],['3'],['Visual'],"['Surprise', 'Dark']"
explosm_3729,['Yes'],['Absent'],['4'],"['Text', 'Visual']","['Pun', 'Surprise', 'Dark']",['Yes'],['Absent'],['4'],"['Text', 'Visual']","['Comparison', 'Pun', 'Surprise', 'Dark']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_3830,['No'],['Absent'],['NA'],['NA'],['NA'],['Yes'],['Absent'],['1'],"['Text', 'Visual']","['Surprise', 'Dark']",,,,,,,,,,,,,,,,['Yes'],"['Present, contribute']",['1'],"['Text', 'Visual']","['Silliness', 'Surprise']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_3847,['Yes'],['Absent'],['2'],"['Text', 'Visual']","['Surprise', 'Dark']",['Yes'],['Absent'],['2'],['Visual'],['Silliness'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Yes'],['Absent'],['2'],['Visual'],"['Dark', 'Silliness', 'Surprise']"
explosm_3901,['Yes'],['Absent'],['2'],"['Text', 'Visual']","['Comparison', 'Surprise']",['Yes'],['Absent'],['1'],['Text'],['Exaggeration'],,,,,,,,,,,,,,,,['Yes'],['Absent'],['2'],"['Text', 'Visual']","['Exaggeration', 'Silliness']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_3944,['Yes'],['Absent'],['2'],"['Text', 'Visual']",['Surprise'],['Yes'],"['Present, contribute']",['2'],['Visual'],"['Personification', 'Silliness']",,,,,,,,,,,,,,,,['Yes'],"['Present, contribute']",['2'],"['Text', 'Visual']","['Comparison', 'Personification', 'Exaggeration']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_3998,['Yes'],"['Present, contribute']",['1'],"['Text', 'Visual']","['Exaggeration', 'Surprise']",['Yes'],['Absent'],['5'],['Text'],['Pun'],,,,,,,,,,,,,,,,['Yes'],['Absent'],['1'],"['Text', 'Visual']",['Exaggeration'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_4088,['Yes'],['Absent'],['2'],['Visual'],"['Exaggeration', 'Surprise']",['Yes'],['Absent'],['2'],['Visual'],['Surprise'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_4139,['Yes'],['Absent'],['10'],"['Text', 'Visual']","['Exaggeration', 'Silliness']",['Yes'],['Absent'],['17'],['Visual'],['Exaggeration'],,,,,,,,,,,,,,,,['Yes'],['Absent'],['10'],"['Text', 'Visual']",['Exaggeration'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_4180,['Yes'],['Absent'],['1'],"['Text', 'Visual']","['Pun', 'Surprise']",['Yes'],['Absent'],['1'],['Visual'],['Pun'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_4291,['Yes'],['Absent'],['2'],['Text'],"['Sarcasm', 'Silliness']",['Yes'],['Absent'],['5'],['Visual'],['Sarcasm'],,,,,,,,,,,,,,,,['Yes'],['Absent'],['2'],['Text'],['Pun'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_4319,['Yes'],['Absent'],['6'],"['Text', 'Visual']",['Exaggeration'],['Yes'],['Absent'],['6'],['Text'],['Exaggeration'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_4346,['Yes'],['Absent'],['3'],"['Text', 'Visual']",['Surprise'],['Yes'],['Absent'],['4'],['Text'],"['Comparison', 'Surprise', 'Dark']",,,,,,,,,,,,,,,,['Yes'],['Absent'],['3'],['Text'],"['Exaggeration', 'Silliness']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_4379,['Yes'],['Absent'],['13'],"['Text', 'Visual']","['Exaggeration', 'Pun', 'Surprise']",['Yes'],['Absent'],['13'],['Text'],"['Comparison', 'Pun']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_4467,['Yes'],['Absent'],['1'],"['Text', 'Visual']","['Pun', 'Surprise', 'Dark']",['Yes'],['Absent'],['1'],['Visual'],"['Pun', 'Surprise', 'Dark']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_4518,['No'],['Absent'],['NA'],['NA'],['NA'],['Yes'],['Absent'],['3'],['Visual'],"['Pun', 'Surprise']",,,,,,,,,,,,,,,,['Yes'],['Absent'],['3'],"['Text', 'Visual']",['Surprise'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_4578,['Yes'],['Absent'],['5'],"['Text', 'Visual']","['Pun', 'Surprise']",['Yes'],['Absent'],['1'],"['Text', 'Visual']",['Pun'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Yes'],['Absent'],['1'],"['Text', 'Visual']","['Pun', 'Surprise']"
explosm_4628,['Yes'],"['Present, contribute']",['7'],"['Text', 'Visual']","['Surprise', 'Dark']",['Yes'],"['Present, do not contribute']",['7'],['Visual'],"['Surprise', 'Dark']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Yes'],"['Present, do not contribute']",['7'],"['Text', 'Visual']","['Surprise', 'Dark']"
explosm_4669,['Yes'],['Absent'],['3'],"['Text', 'Visual']","['Surprise', 'Silliness', 'Dark']",['Yes'],['Absent'],['3'],['Text'],"['Pun', 'Surprise']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_4718,['Yes'],['Absent'],['2'],"['Text', 'Visual']",['Surprise'],['Yes'],['Absent'],['2'],['Visual'],['Surprise'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_4756,['Yes'],['Absent'],['2'],"['Text', 'Visual']","['Exaggeration', 'Surprise']",['Yes'],['Absent'],['4'],['Text'],['Surprise'],,,,,,,,,,,,,,,,['Yes'],['Absent'],['2'],"['Text', 'Visual']",['Surprise'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_4865,['Yes'],['Absent'],['3'],['Text'],['Surprise'],['Yes'],['Absent'],['3'],['Text'],['Silliness'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Yes'],['Absent'],['3'],['Text'],"['Silliness', 'Dark']"
explosm_4890,['Yes'],['Absent'],['1'],"['Text', 'Visual']","['Pun', 'Surprise']",['Yes'],['Absent'],['1'],"['Text', 'Visual']","['Pun', 'Surprise']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_4945,['Yes'],['Absent'],['2'],['Text'],"['Exaggeration', 'Surprise', 'Dark']",['Yes'],['Absent'],['2'],"['Text', 'Visual']","['Exaggeration', 'Dark']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_5019,['Yes'],['Absent'],['2'],"['Text', 'Visual']",['Surprise'],['No'],"['Present, do not contribute']",['NA'],['NA'],['NA'],,,,,,,,,,,,,,,,['Yes'],['Absent'],['2'],"['Text', 'Visual']",['Surprise'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_5069,['Yes'],"['Present, do not contribute']",['2'],"['Text', 'Visual']","['Pun', 'Surprise']",['Yes'],"['Present, do not contribute']",['2'],['Visual'],"['Pun', 'Surprise']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosm_5121,['Yes'],['Absent'],['6'],"['Text', 'Visual']","['Silliness', 'Surprise']",['Yes'],['Absent'],['6'],"['Text', 'Visual']",['Comparison'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Yes'],['Absent'],['6'],"['Text', 'Visual']","['Comparison', 'Pun', 'Surprise']"
explosm_5185,['Yes'],['Absent'],['5'],"['Text', 'Visual']","['Silliness', 'Surprise']",['Yes'],['Absent'],['5'],['Visual'],['Silliness'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
