comic_id,Q1,Q2,Q3,Q4,Q5
explosm_783,['Yes'],"['Present, contribute']",['1'],['Both'],['Dark']
explosm_796,['Yes'],['Absent'],['5'],['Text'],['Silliness']
explosm_826,['Yes'],['Absent'],['1'],['Text'],['Surprise']
explosm_845,['Yes'],['Absent'],['4'],['Both'],['Exaggeration']
explosm_846,['Yes'],"['Present, contribute']",['3'],['Text'],"['Surprise', 'Dark']"
explosm_881,['Yes'],['Absent'],['3'],['Text'],['Exaggeration']
explosm_897,['Yes'],['Absent'],['1'],['Both'],['Surprise']
explosm_908,['Yes'],['Absent'],['1'],['Text'],['Pun']
explosm_969,['Yes'],['Absent'],['1'],['Text'],['Pun']
explosm_1003,['Yes'],['Absent'],['1'],['Text'],['Surprise']
explosm_1062,['Yes'],['Absent'],['1'],['Both'],['Dark']
explosm_1080,['Yes'],['Absent'],['1'],['Both'],['Surprise']
explosm_1102,['Yes'],['Absent'],['1'],['Both'],['Surprise']
explosm_1121,['Yes'],"['Present, contribute']",['1'],['Both'],['Silliness']
explosm_1135,['Yes'],['Absent'],['1'],['Both'],"['Surprise', 'Dark']"
explosm_1137,['Yes'],['Absent'],['2'],['Text'],['Surprise']
explosm_1149,['Yes'],['Absent'],['1'],['Both'],['Pun']
explosm_1150,['Yes'],['Absent'],['1'],['Text'],"['Comparison', 'Surprise']"
explosm_1156,['Yes'],['Absent'],['3'],['Both'],"['Surprise', 'Dark']"
explosm_1158,['Yes'],['Absent'],['4'],['Both'],"['Silliness', 'Surprise']"
explosm_1165,['Yes'],['Absent'],['3'],['Both'],['Surprise']
explosm_1184,['Yes'],['Absent'],['1'],['Visual'],['Surprise']
explosm_1199,['Yes'],['Absent'],['3'],['Text'],"['Surprise', 'Dark']"
explosm_1210,['Yes'],['Absent'],['4'],['Text'],"['Surprise', 'Dark']"
explosm_1219,['Yes'],['Absent'],['2'],['Visual'],['Pun']
explosm_1230,['Yes'],['Absent'],['2'],['Text'],"['Surprise', 'Dark']"
explosm_1231,['Yes'],['Absent'],['1'],['Text'],['Pun']
explosm_1251,['Yes'],['Absent'],['1'],['Text'],['Surprise']
explosm_1268,['Yes'],['Absent'],['1'],['Visual'],"['Pun', 'Surprise']"
explosm_1289,['Yes'],['Absent'],['3'],['Both'],['Surprise']
explosm_1336,['Yes'],"['Present, do not contribute']",['2'],['Both'],['Surprise']
explosm_1340,['Yes'],['Absent'],['2'],['Text'],['Silliness']
explosm_1346,['Yes'],['Absent'],['4'],['Text'],['Pun']
explosm_1353,['Yes'],['Absent'],['2'],['Visual'],"['Pun', 'Silliness']"
explosm_1365,['Yes'],['Absent'],['1'],['Both'],"['Pun', 'Surprise']"
explosm_1378,['Yes'],['Absent'],['1'],['Both'],"['Pun', 'Silliness']"
explosm_1387,['Yes'],['Absent'],['3'],['Text'],"['Pun', 'Surprise']"
explosm_1420,['Yes'],['Absent'],['3'],['Visual'],"['Pun', 'Surprise']"
explosm_1461,['Yes'],['Absent'],['1'],['Text'],"['Pun', 'Surprise']"
explosm_1479,['Yes'],"['Present, contribute']",['4'],['Both'],['Silliness']
explosm_1503,['Yes'],['Absent'],['2'],['Visual'],['Pun']
explosm_1521,['Yes'],['Absent'],['3'],['Visual'],['Surprise']
explosm_1533,['Yes'],['Absent'],['5'],['Both'],"['Pun', 'Surprise']"
explosm_1536,['Yes'],['Absent'],['4'],['Both'],"['Pun', 'Silliness']"
explosm_1554,['Yes'],['Absent'],['2'],['Text'],"['Exaggeration', 'Pun']"
explosm_1570,['Yes'],"['Present, contribute']",['3'],['Visual'],"['Pun', 'Surprise']"
explosm_1575,['Yes'],['Absent'],['2'],['Text'],['Surprise']
explosm_1578,['Yes'],"['Present, contribute']",['7'],['Text'],"['Surprise', 'Dark']"
explosm_1594,['Yes'],['Absent'],['1'],['Visual'],['Surprise']
explosm_1599,['Yes'],['Absent'],['6'],['Text'],['Pun']
explosm_1611,['Yes'],['Absent'],['2'],['Both'],['Surprise']
explosm_1634,['Yes'],['Absent'],['1'],['Text'],['Pun']
explosm_1637,['Yes'],['Absent'],['1'],['Visual'],"['Exaggeration', 'Pun', 'Surprise']"
explosm_1645,['Yes'],['Absent'],['2'],['Both'],['Pun']
explosm_1648,['Yes'],['Absent'],['3'],['Text'],['Pun']
explosm_1649,['Yes'],['Absent'],['2'],['Text'],['Silliness']
explosm_1663,['Yes'],['Absent'],['1'],['Both'],"['Comparison', 'Pun']"
explosm_1679,['Yes'],['Absent'],['4'],['Visual'],['Silliness']
explosm_1684,['Yes'],['Absent'],['4'],['Text'],['Personification']
explosm_1689,['Yes'],"['Present, contribute']",['3'],['Both'],['Dark']
explosm_1711,['Yes'],['Absent'],['2'],['Visual'],"['Silliness', 'Exaggeration', 'Sarcasm']"
explosm_1713,['Yes'],['Absent'],['4'],['Both'],['Silliness']
explosm_1726,['Yes'],['Absent'],['2'],['Both'],"['Pun', 'Surprise']"
explosm_1755,['Yes'],['Absent'],['1'],['Visual'],['Pun']
explosm_1757,['Yes'],"['Present, do not contribute']",['3'],['Text'],['Surprise']
explosm_1793,['Yes'],['Absent'],['3'],['Both'],['Silliness']
explosm_1800,['Yes'],['Absent'],['1'],['Both'],['Silliness']
explosm_1809,['Yes'],['Absent'],['1'],['Text'],"['Surprise', 'Dark']"
explosm_1826,['Yes'],['Absent'],['3'],['Visual'],"['Exaggeration', 'Pun', 'Surprise']"
explosm_1882,['Yes'],['Absent'],['4'],['Text'],['Exaggeration']
explosm_1917,['Yes'],['Absent'],['2'],['Both'],['Pun']
explosm_1954,['Yes'],['Absent'],['2'],['Visual'],"['Pun', 'Surprise']"
explosm_1958,['Yes'],['Absent'],['3'],['Text'],['Silliness']
explosm_1963,['Yes'],['Absent'],['2'],['Both'],"['Exaggeration', 'Surprise']"
explosm_1965,['Yes'],['Absent'],['2'],['Both'],['Dark']
explosm_1998,['Yes'],['Absent'],['2'],['Visual'],"['Exaggeration', 'Silliness']"
explosm_2016,['Yes'],['Absent'],['1'],['Visual'],"['Pun', 'Surprise']"
explosm_2020,['Yes'],['Absent'],['1'],['Both'],['Silliness']
explosm_2038,['Yes'],"['Present, contribute']",['2'],['Both'],['Surprise']
explosm_2058,['Yes'],['Absent'],['1'],['Visual'],"['Exaggeration', 'Silliness']"
explosm_2065,['Yes'],['Absent'],['1'],['Visual'],['Dark']
explosm_2110,['Yes'],['Absent'],['3'],['Both'],"['Exaggeration', 'Surprise']"
explosm_2133,['Yes'],"['Present, contribute']",['5'],['Both'],"['Surprise', 'Dark']"
explosm_2150,['Yes'],['Absent'],['1'],['Visual'],['Pun']
explosm_2172,['Yes'],['Absent'],['1'],['Both'],['Dark']
explosm_2210,['Yes'],['Absent'],['3'],['Visual'],['Silliness']
explosm_2216,['Yes'],"['Present, contribute']",['2'],['Both'],['Pun']
explosm_2235,['Yes'],"['Present, contribute']",['2'],['Both'],"['Silliness', 'Surprise']"
explosm_2268,['Yes'],['Absent'],['6'],['Both'],['Dark']
explosm_2296,['Yes'],"['Present, contribute']",['2'],['Visual'],"['Surprise', 'Exaggeration']"
explosm_2300,['Yes'],['Absent'],['4'],['Both'],['Surprise']
explosm_2309,['Yes'],['Absent'],['3'],['Text'],['Sarcasm']
explosm_2313,['Yes'],['Absent'],['3'],['Visual'],"['Sarcasm', 'Dark']"
explosm_2325,['Yes'],['Absent'],['2'],['Both'],['Dark']
explosm_2335,['Yes'],"['Present, do not contribute']",['1'],['Text'],['Surprise']
explosm_2350,['Yes'],"['Present, contribute']",['3'],['Both'],['Surprise']
explosm_2370,['Yes'],['Absent'],['1'],['Text'],"['Pun', 'Dark']"
explosm_2393,['Yes'],['Absent'],['5'],['Text'],"['Surprise', 'Dark']"
explosm_2400,['Yes'],['Absent'],['2'],['Both'],['Exaggeration']
explosm_2416,['Yes'],"['Present, contribute']",['1'],['Text'],"['Exaggeration', 'Silliness', 'Surprise', 'Dark']"
explosm_2423,['Yes'],['Absent'],['6'],['Text'],"['Surprise', 'Dark']"
explosm_2432,['Yes'],['Absent'],['2'],['Text'],['Surprise']
explosm_2464,['Yes'],['Absent'],['4'],['Text'],"['Surprise', 'Dark']"
explosm_2470,['Yes'],['Absent'],['2'],['Visual'],"['Silliness', 'Surprise', 'Dark']"
explosm_2482,['Yes'],"['Present, contribute']",['1'],['Both'],"['Pun', 'Dark']"
explosm_2485,['Yes'],['Absent'],['1'],['Visual'],['Surprise']
explosm_2516,['Yes'],['Absent'],['6'],['Both'],['Surprise']
explosm_2562,['Yes'],"['Present, do not contribute']",['1'],['Visual'],['Pun']
explosm_2575,['Yes'],['Absent'],['5'],['Both'],"['Pun', 'Surprise']"
explosm_2576,['Yes'],['Absent'],['3'],['Text'],['Surprise']
explosm_2591,['Yes'],['Absent'],['4'],['Text'],"['Surprise', 'Dark']"
explosm_2606,['Yes'],['Absent'],['3'],['Text'],['Pun']
explosm_2609,['Yes'],"['Present, do not contribute']",['1'],['Visual'],['Exaggeration']
explosm_2615,['Yes'],"['Present, contribute']",['3'],['Visual'],['Exaggeration']
explosm_2618,['Yes'],['Absent'],['2'],['Both'],"['Surprise', 'Dark']"
explosm_2624,['Yes'],['Absent'],['1'],['Visual'],"['Surprise', 'Dark']"
explosm_2630,['Yes'],['Absent'],['2'],['Visual'],['Dark']
explosm_2631,['Yes'],['Absent'],['4'],['Visual'],['Surprise']
explosm_2654,['Yes'],['Absent'],['1'],['Both'],['Surprise']
explosm_2678,['Yes'],['Absent'],['2'],['Text'],['Pun']
explosm_2701,['Yes'],['Absent'],['6'],['Visual'],['Dark']
explosm_2712,['Yes'],['Absent'],['3'],['Text'],['Surprise']
explosm_2736,['Yes'],['Absent'],['1'],['Text'],['Pun']
explosm_2743,['Yes'],['Absent'],['2'],['Text'],['Silliness']
explosm_2749,['Yes'],['Absent'],['3'],['Text'],['Dark']
explosm_2796,['Yes'],['Absent'],['3'],['Text'],['Silliness']
explosm_2812,['Yes'],"['Present, do not contribute']",['3'],['Both'],"['Comparison', 'Silliness', 'Surprise']"
explosm_2842,['Yes'],['Absent'],['1'],['Text'],['Comparison']
explosm_2867,['Yes'],['Absent'],['2'],['Text'],['Silliness']
explosm_2920,['Yes'],['Absent'],['2'],['Visual'],"['Surprise', 'Dark']"
explosm_2938,['Yes'],['Absent'],['1'],['Both'],"['Surprise', 'Dark']"
explosm_2941,['Yes'],['Absent'],['1'],['Visual'],['Silliness']
explosm_2945,['Yes'],"['Present, contribute']",['3'],['Both'],['Dark']
explosm_2948,['Yes'],"['Present, contribute']",['1'],['Text'],"['Pun', 'Surprise']"
explosm_2950,['Yes'],['Absent'],['3'],['Both'],['Surprise']
explosm_2955,['Yes'],"['Present, do not contribute']",['5'],['Both'],"['Surprise', 'Exaggeration']"
explosm_2976,['Yes'],['Absent'],['1'],['Visual'],['Dark']
explosm_3003,['Yes'],['Absent'],['3'],['Text'],"['Exaggeration', 'Surprise']"
explosm_3012,['Yes'],['Absent'],['4'],['Both'],['Surprise']
explosm_3018,['Yes'],['Absent'],['2'],['Visual'],['Silliness']
explosm_3023,['Yes'],['Absent'],['4'],['Visual'],['Personification']
explosm_3033,['Yes'],['Absent'],['2'],['Text'],['Dark']
explosm_3093,['Yes'],['Absent'],['3'],['Both'],"['Silliness', 'Surprise']"
explosm_3128,['Yes'],['Absent'],['4'],['Visual'],"['Exaggeration', 'Pun', 'Silliness']"
explosm_3136,['Yes'],['Absent'],['3'],['Both'],['Surprise']
explosm_3194,['Yes'],['Absent'],['3'],['Both'],['Surprise']
explosm_3196,['Yes'],['Absent'],['1'],['Text'],['Surprise']
explosm_3198,['Yes'],['Absent'],['3'],['Visual'],['Pun']
explosm_3211,['Yes'],['Absent'],['1'],['Text'],['Pun']
explosm_3248,['Yes'],['Absent'],['6'],['Text'],['Surprise']
explosm_3252,['Yes'],"['Present, contribute']",['3'],['Both'],['Surprise']
explosm_3259,['Yes'],['Absent'],['6'],['Text'],['Dark']
explosm_3265,['Yes'],['Absent'],['4'],['Both'],['Surprise']
explosm_3270,['Yes'],['Absent'],['1'],['Both'],['Pun']
explosm_3275,['Yes'],['Absent'],['6'],['Both'],['Silliness']
explosm_3276,['Yes'],['Absent'],['1'],['Text'],"['Pun', 'Surprise']"
explosm_3294,['Yes'],['Absent'],['4'],['Visual'],['Surprise']
explosm_3299,['Yes'],['Absent'],['3'],['Visual'],['Surprise']
explosm_3332,['Yes'],"['Present, contribute']",['3'],['Text'],['Surprise']
explosm_3361,['Yes'],['Absent'],['1'],['Visual'],['Dark']
explosm_3376,['Yes'],['Absent'],['5'],['Text'],['Silliness']
explosm_3385,['Yes'],"['Present, do not contribute']",['4'],['Text'],"['Surprise', 'Dark']"
explosm_3388,['Yes'],['Absent'],['1'],['Both'],['Surprise']
explosm_3429,['Yes'],['Absent'],['2'],['Both'],['Surprise']
explosm_3446,['Yes'],['Absent'],['3'],['Text'],['Exaggeration']
explosm_3460,['Yes'],['Absent'],['3'],['Text'],['Surprise']
explosm_3461,['Yes'],['Absent'],['6'],['Text'],"['Silliness', 'Surprise', 'Dark']"
explosm_3471,['Yes'],['Absent'],['2'],['Visual'],['Surprise']
explosm_3479,['Yes'],['Absent'],['3'],['Both'],['Pun']
explosm_3492,['Yes'],['Absent'],['1'],['Visual'],['Pun']
explosm_3496,['Yes'],['Absent'],['1'],['Both'],['Pun']
explosm_3528,['Yes'],"['Present, contribute']",['3'],['Text'],"['Surprise', 'Dark']"
explosm_3532,['Yes'],['Absent'],['2'],['Text'],"['Pun', 'Dark']"
explosm_3565,['Yes'],['Absent'],['4'],['Text'],"['Pun', 'Surprise']"
explosm_3589,['Yes'],['Absent'],['2'],['Text'],['Surprise']
explosm_3598,['Yes'],['Absent'],['5'],['Text'],['Exaggeration']
explosm_3656,['Yes'],"['Present, do not contribute']",['2'],['Text'],['Comparison']
explosm_3680,['Yes'],"['Present, contribute']",['1'],['Both'],['Pun']
explosm_3683,['Yes'],['Absent'],['6'],['Visual'],['Pun']
explosm_3685,['Yes'],['Absent'],['1'],['Text'],"['Surprise', 'Dark']"
explosm_3691,['Yes'],['Absent'],['3'],['Visual'],"['Surprise', 'Dark']"
explosm_3699,['Yes'],['Absent'],['2'],['Both'],"['Silliness', 'Surprise']"
explosm_3711,['Yes'],['Absent'],['3'],['Text'],['Dark']
explosm_3722,['Yes'],['Absent'],['5'],['Visual'],['Surprise']
explosm_3729,['Yes'],['Absent'],['4'],['Both'],"['Pun', 'Surprise', 'Dark']"
explosm_3735,['Yes'],['Absent'],['2'],['Both'],['Surprise']
explosm_3764,['Yes'],"['Present, contribute']",['2'],['Text'],['Comparison']
explosm_3814,['Yes'],['Absent'],['6'],['Both'],"['Silliness', 'Surprise']"
explosm_3830,['Yes'],['Absent'],['1'],['Both'],['Surprise']
explosm_3835,['Yes'],['Absent'],['1'],['Text'],['Surprise']
explosm_3838,['Yes'],['Absent'],['4'],['Both'],"['Pun', 'Silliness']"
explosm_3839,['Yes'],['Absent'],['1'],['Text'],['Pun']
explosm_3847,['Yes'],['Absent'],['2'],['Visual'],"['Surprise', 'Dark', 'Silliness']"
explosm_3865,['Yes'],['Absent'],['3'],['Both'],['Surprise']
explosm_3880,['Yes'],['Absent'],['5'],['Both'],"['Silliness', 'Surprise']"
explosm_3900,['Yes'],"['Present, do not contribute']",['1'],['Both'],['Dark']
explosm_3901,['Yes'],['Absent'],['2'],['Text'],['Exaggeration']
explosm_3918,['Yes'],['Absent'],['2'],['Both'],['Surprise']
explosm_3922,['Yes'],['Absent'],['4'],['Visual'],['Dark']
explosm_3939,['Yes'],['Absent'],['1'],['Text'],['Pun']
explosm_3944,['Yes'],"['Present, contribute']",['2'],['Visual'],['Personification']
explosm_3976,['Yes'],"['Present, contribute']",['5'],['Both'],"['Pun', 'Surprise']"
explosm_3982,['Yes'],['Absent'],['2'],['Text'],"['Surprise', 'Silliness', 'Exaggeration', 'Pun']"
explosm_3984,['Yes'],['Absent'],['1'],['Visual'],['Pun']
explosm_3998,['Yes'],['Absent'],['1'],['Text'],['Exaggeration']
explosm_4047,['Yes'],['Absent'],['3'],['Text'],"['Pun', 'Surprise']"
explosm_4049,['Yes'],"['Present, do not contribute']",['4'],['Both'],['Silliness']
explosm_4082,['Yes'],['Absent'],['1'],['Text'],['Pun']
explosm_4088,['Yes'],['Absent'],['2'],['Visual'],['Surprise']
explosm_4097,['Yes'],['Absent'],['4'],['Text'],['Surprise']
explosm_4118,['Yes'],"['Present, contribute']",['1'],['Both'],['Silliness']
explosm_4133,['Yes'],['Absent'],['1'],['Visual'],"['Pun', 'Surprise', 'Dark']"
explosm_4139,['Yes'],['Absent'],['10'],['Visual'],['Exaggeration']
explosm_4145,['Yes'],"['Present, contribute']",['3'],['Both'],"['Surprise', 'Dark']"
explosm_4175,['Yes'],['Absent'],['2'],['Visual'],['Exaggeration']
explosm_4176,['Yes'],['Absent'],['2'],['Text'],"['Dark', 'Pun']"
explosm_4180,['Yes'],['Absent'],['1'],['Visual'],['Pun']
explosm_4206,['Yes'],['Absent'],['1'],['Both'],['Surprise']
explosm_4211,['Yes'],['Absent'],['2'],['Text'],['Dark']
explosm_4226,['Yes'],"['Present, do not contribute']",['2'],['Both'],"['Pun', 'Surprise']"
explosm_4263,['Yes'],['Absent'],['3'],['Visual'],['Surprise']
explosm_4291,['Yes'],['Absent'],['2'],['Text'],['Sarcasm']
explosm_4302,['Yes'],"['Present, do not contribute']",['2'],['Both'],['Surprise']
explosm_4308,['Yes'],['Absent'],['5'],['Visual'],['Surprise']
explosm_4309,['Yes'],['Absent'],['2'],['Both'],"['Pun', 'Dark']"
explosm_4319,['Yes'],['Absent'],['6'],['Text'],['Exaggeration']
explosm_4334,['Yes'],['Absent'],['5'],['Both'],"['Surprise', 'Dark']"
explosm_4342,['Yes'],['Absent'],['3'],['Text'],['Surprise']
explosm_4343,['Yes'],['Absent'],['2'],['Visual'],['Dark']
explosm_4346,['Yes'],['Absent'],['3'],['Text'],['Surprise']
explosm_4351,['Yes'],['Absent'],['2'],['Text'],['Surprise']
explosm_4365,['Yes'],['Absent'],['1'],['Text'],['Comparison']
explosm_4368,['Yes'],['Absent'],['5'],['Both'],"['Dark', 'Comparison', 'Pun']"
explosm_4379,['Yes'],['Absent'],['13'],['Text'],['Pun']
explosm_4394,['Yes'],['Absent'],['1'],['Both'],['Surprise']
explosm_4409,['Yes'],['Absent'],['1'],['Both'],['Silliness']
explosm_4464,['Yes'],"['Present, contribute']",['8'],['Text'],"['Exaggeration', 'Pun']"
explosm_4467,['Yes'],['Absent'],['1'],['Visual'],"['Pun', 'Surprise', 'Dark']"
explosm_4483,['No'],['Absent'],['NA'],['NA'],['NA']
explosm_4494,['Yes'],['Absent'],['4'],['Text'],['Silliness']
explosm_4506,['Yes'],['Absent'],['7'],['Both'],['Surprise']
explosm_4518,['Yes'],['Absent'],['3'],['Visual'],['Surprise']
explosm_4531,['Yes'],['Absent'],['6'],['Text'],"['Silliness', 'Surprise', 'Dark']"
explosm_4537,['Yes'],['Absent'],['3'],['Text'],['Sarcasm']
explosm_4548,['Yes'],['Absent'],['3'],['Visual'],"['Silliness', 'Comparison']"
explosm_4578,['Yes'],['Absent'],['1'],['Both'],['Pun']
explosm_4581,['Yes'],['Absent'],['3'],['Both'],['Pun']
explosm_4594,['Yes'],['Absent'],['6'],['Text'],"['Surprise', 'Pun']"
explosm_4618,['Yes'],['Absent'],['1'],['Text'],['Dark']
explosm_4628,['Yes'],"['Present, do not contribute']",['7'],['Visual'],"['Surprise', 'Dark']"
explosm_4629,['Yes'],['Absent'],['1'],['Both'],['Pun']
explosm_4664,['Yes'],['Absent'],['2'],['Both'],['Silliness']
explosm_4667,['Yes'],['Absent'],['1'],['Visual'],['Comparison']
explosm_4669,['Yes'],['Absent'],['3'],['Text'],['Surprise']
explosm_4701,['Yes'],"['Present, do not contribute']",['2'],['Both'],"['Silliness', 'Surprise']"
explosm_4713,['Yes'],['Absent'],['2'],['Text'],['Surprise']
explosm_4716,['Yes'],"['Present, do not contribute']",['5'],['Text'],['Sarcasm']
explosm_4718,['Yes'],['Absent'],['2'],['Visual'],['Surprise']
explosm_4728,['Yes'],['Absent'],['6'],['Both'],['Surprise']
explosm_4738,['Yes'],"['Present, do not contribute']",['6'],['Both'],"['Surprise', 'Exaggeration', 'Sarcasm']"
explosm_4744,['Yes'],"['Present, contribute']",['3'],['Visual'],['Surprise']
explosm_4756,['Yes'],['Absent'],['2'],['Text'],['Surprise']
explosm_4815,['Yes'],['Absent'],['1'],['Both'],['Dark']
explosm_4820,['Yes'],['Absent'],['2'],['Text'],['Pun']
explosm_4840,['Yes'],['Absent'],['2'],['Text'],['Pun']
explosm_4865,['Yes'],['Absent'],['3'],['Text'],['Silliness']
explosm_4866,['Yes'],['Absent'],['1'],['Both'],['Dark']
explosm_4868,['Yes'],['Absent'],['1'],['Visual'],['Surprise']
explosm_4881,['Yes'],['Absent'],['3'],['Visual'],['Surprise']
explosm_4890,['Yes'],['Absent'],['1'],['Both'],"['Pun', 'Surprise']"
explosm_4899,['Yes'],['Absent'],['3'],['Text'],['Surprise']
explosm_4907,['Yes'],"['Present, contribute']",['2'],['Both'],['Pun']
explosm_4921,['Yes'],['Absent'],['2'],['Both'],['Dark']
explosm_4945,['Yes'],['Absent'],['2'],['Text'],"['Exaggeration', 'Dark']"
explosm_4960,['Yes'],['Absent'],['2'],['Both'],['Pun']
explosm_4974,['Yes'],['Absent'],['3'],['Visual'],['Dark']
explosm_4977,['Yes'],['Absent'],['2'],['Text'],['Pun']
explosm_5019,['Yes'],['Absent'],['2'],['Both'],['Surprise']
explosm_5030,['Yes'],['Absent'],['5'],['Text'],['Pun']
explosm_5052,['Yes'],"['Present, contribute']",['2'],['Visual'],['Surprise']
explosm_5067,['Yes'],['Absent'],['3'],['Visual'],['Dark']
explosm_5069,['Yes'],"['Present, do not contribute']",['2'],['Visual'],"['Pun', 'Surprise']"
explosm_5077,['Yes'],['Absent'],['3'],['Visual'],['Surprise']
explosm_5089,['Yes'],"['Present, contribute']",['1'],['Visual'],"['Exaggeration', 'Surprise', 'Silliness']"
explosm_5110,['Yes'],['Absent'],['3'],['Visual'],['Dark']
explosm_5121,['Yes'],['Absent'],['6'],['Both'],"['Surprise', 'Comparison']"
explosm_5141,['Yes'],"['Present, contribute']",['2'],['Both'],['Surprise']
explosm_5151,['Yes'],['Absent'],['1'],['Text'],['Pun']
explosm_5155,['Yes'],['Absent'],['4'],['Text'],"['Comparison', 'Pun', 'Surprise']"
explosm_5185,['Yes'],['Absent'],['5'],['Visual'],['Silliness']
explosm_5186,['Yes'],['Absent'],['5'],['Text'],"['Surprise', 'Dark']"
explosm_5187,['Yes'],"['Present, contribute']",['5'],['Visual'],['Surprise']
explosm_5194,['No'],['Absent'],['NA'],['NA'],['NA']
explosm_5220,['Yes'],['Absent'],['1'],['Visual'],['Silliness']
explosm_5230,['Yes'],['Absent'],['2'],['Visual'],['Silliness']
explosm_5233,['Yes'],['Absent'],['6'],['Visual'],['Surprise']
explosm_5265,['Yes'],['Absent'],['4'],['Visual'],['Silliness']
explosm_5279,['Yes'],['Absent'],['2'],['Visual'],"['Surprise', 'Personification']"
explosm_5285,['Yes'],['Absent'],['6'],['Both'],['Surprise']
explosm_5288,['Yes'],"['Present, do not contribute']",['4'],['Visual'],"['Personification', 'Silliness', 'Surprise']"
